season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
2024,BAL,POST,2,34,46,429,4,1,3,-24,1,1,378,171,20,14.0109545292354,10.566479509527,0,80,475,3,0,0,29,15.5515075952862,0,34,44,429,4,2,1,378,171,20,21.3539235809432,0,0,56,2,54,6,22,0,5,20,11,0,0,1,0,1,0,0,2,2,0,0,0,8,57,9,2,20,5,134,2,2,0,0,47,1,0,1,0,1,0,0,0,0,0,0,0,0,26;47,,,73,0,0,5,5,0,0,1,0,0,0,0,
2024,BUF,POST,3,58,82,636,4,0,5,-22,1,0,674,322,26,21.5167232341566,8.95396258149828,1,112,504,6,3,0,37,10.655857706553,0,58,77,636,4,0,0,674,322,26,31.6654484693317,1,0,103,3,65,14,59,3,6,40,16,1,0,3,0,0,0,0,4,5,3,3,0,14,103,11,3,36,4,112,6,6,0,0,53,1,0,3,1,0,2,0,0,0,0,0,0,0,26;27;34;51;21;53,,,212,0,0,7,7,0,0,1,0,0,0,0,
2024,DEN,POST,1,14,23,159,1,0,2,-14,0,0,275,30,7,-3.9468113916398,-2.21730418827223,0,17,79,0,0,0,5,-1.32123080367455,0,14,23,159,1,0,0,275,30,7,-1.21235487437183,0,0,48,1,31,3,12,0,2,11,4,0,0,1,0,0,0,0,0,0,0,0,0,3,27,6,1,0,1,16,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,,50,,0,50,0,1,1,0,0,1,0,0,0,0,
2024,DET,POST,1,25,43,336,1,4,2,-16,1,1,351,176,19,-7.82735643448541,-5.50796962701357,0,23,201,3,0,0,10,11.5893602646431,0,25,39,336,1,0,0,351,176,19,0.581405780161731,0,0,50,2,18,6,10,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5,30,5,0,0,5,114,1,1,0,0,28,1,0,1,0,0,0,0,0,0,0,0,0,0,28,,,28,0,0,4,4,0,0,1,0,0,0,0,
2024,GB,POST,1,20,33,212,0,3,2,-17,0,0,277,127,12,-5.50907542900242,-5.42078957413182,0,25,107,1,1,0,4,1.11247182061197,0,20,33,212,0,0,0,277,127,12,-2.03155348747097,0,0,29,1,41,2,9,0,2,10,5,0,0,1,0,0,0,0,2,2,0,0,0,8,85,2,2,26,4,95,1,2,1,0,26,0.5,0,1,0,0,0,0,0,0,1,0,0,0,26,38,,26,38,0,1,1,0,0,1,0,0,0,0,
2024,HOU,POST,2,41,61,527,1,1,11,-79,1,0,587,180,24,2.12067809057647,2.7544708798329,0,63,317,2,1,1,15,3.20747163198632,0,41,60,527,1,1,1,587,180,24,15.4401492695669,0,0,58,2,44,11,69,2,7,46,17,4,108,14,1,0,1,0,2,2,0,0,0,16,168,8,1,10,4,95,5,7,1,1,48,0.714285714285714,0,0,3,2,0,0,0,0,0,0,1,0,41;37;30;30;48,55,35,186,55,35,3,4,1,0,0.75,0,0,0,0,
2024,KC,POST,3,55,83,679,5,2,11,-58,1,1,588,329,32,1.38174334102305,0.485790658880163,3,68,234,4,2,1,19,-3.85376114927931,0,55,81,679,5,0,0,588,329,32,23.0864417557006,3,0,130,2,80,22,104,4,12,79,25,1,0,9,0,0,0,10,3,3,0,0,0,16,125,13,3,57,11,322,4,4,0,0,36,1,0,1,3,0,0,0,0,0,0,0,0,0,32;36;27;35,,,130,0,0,5,5,0,0,1,0,0,0,0,
2024,LA,POST,2,45,71,533,4,0,7,-40,1,1,642,179,25,9.06792876786906,-2.04334331410272,0,43,201,0,2,1,9,-15.1444996971485,0,45,70,533,4,0,0,642,179,25,22.6417225925483,0,0,82,4,56,20,134,2,16,145,18,1,0,6,0,0,1,0,1,2,1,1,1,13,125,7,3,29,3,66,4,4,0,0,44,1,0,0,3,1,0,0,0,0,0,0,0,0,34;44;30;34,,,142,0,0,5,5,0,0,1,0,0,0,0,
2024,LAC,POST,1,14,32,242,1,4,4,-31,0,0,405,112,9,-23.0566209330844,-20.6823321059346,0,18,50,0,0,0,4,-4.85311115664775,0,14,32,242,1,1,0,405,112,9,-16.4708376518373,0,0,46,3,25,7,30,2,3,21,5,1,0,5,0,0,0,0,1,1,2,2,0,2,10,5,0,0,3,76,2,2,0,0,39,1,0,0,2,0,0,0,0,0,0,0,0,0,35;39,,,74,0,0,0,1,0,1,0,0,0,0,0,
2024,MIN,POST,1,25,40,245,1,1,9,-82,1,1,420,99,11,-29.8987370335182,-4.98572710901499,0,22,106,0,0,0,5,2.20466321217828,0,25,40,245,1,0,0,420,99,11,-4.65577439478708,0,0,26,2,28,4,13,0,2,7,5,0,0,2,0,2,0,0,0,0,0,0,0,2,20,4,1,0,2,58,1,1,0,0,34,1,0,0,1,0,0,0,0,0,0,0,0,0,34,,,34,0,0,0,0,0,0,,0,0,0,0,
2024,PHI,POST,4,65,92,726,5,1,13,-100,1,0,623,385,35,23.1345617362978,7.75966402362375,0,149,818,11,0,0,38,6.82875285059726,0,65,85,726,5,0,0,623,385,35,48.784614942444,0,0,155,0,92,24,127,8,16,108,26,6,54,27,1,1,0,0,2,2,7,7,0,23,167,13,9,53,12,326,10,11,1,0,50,0.909090909090909,0,2,4,3,1,0,0,0,0,0,1,0,31;30;32;44;23;37;48;29;48;50,54,,372,54,0,13,16,3,0,0.8125,0,0,0,0,
2024,PIT,POST,1,20,30,270,2,0,4,-19,0,0,249,126,9,7.64407936751377,10.3360381263953,0,11,29,0,0,0,2,-2.51975205447525,0,20,26,270,2,0,0,249,126,9,15.0810282636667,0,0,44,3,35,5,20,0,1,10,1,0,0,2,0,0,0,0,0,0,0,0,0,7,41,4,1,14,1,26,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1,0,0,0,0,
